numOfgainMut	numOfHotMutPosi	gainMf	numOfLofMut	lofMf	numOfNonsMut
ADORA1	4	2	0.129032258064516	4	0.129032258064516	31
ADORA2A	3	1	0.0882352941176471	4	0.117647058823529	34
ADORA2B	0	0	0	1	0.1	10
ADORA3	2	1	0.08	1	0.04	25
ADRA1A	8	4	0.140350877192982	2	0.0350877192982456	57
ADRA1B	6	3	0.24	3	0.12	25
ADRA1D	6	2	0.176470588235294	4	0.117647058823529	34
ADRA2A	6	3	0.2	0	0	30
ADRA2B	2	1	0.0588235294117647	1	0.0294117647058824	34
ADRA2C	4	2	0.19047619047619	1	0.0476190476190476	21
ADRB1	4	2	0.222222222222222	2	0.111111111111111	18
ADRB2	2	1	0.0769230769230769	3	0.115384615384615	26
ADRB3	0	0	0	3	0.214285714285714	14
CHRM1	2	1	0.0714285714285714	3	0.107142857142857	28
CHRM2	39	18	0.30952380952381	7	0.0555555555555556	126
CHRM3	37	16	0.336363636363636	16	0.145454545454545	110
CHRM4	0	0	0	6	0.162162162162162	37
CHRM5	4	2	0.121212121212121	4	0.121212121212121	33
CHRNA1	8	4	0.150943396226415	12	0.226415094339623	53
CHRNA10	2	1	0.0769230769230769	2	0.0769230769230769	26
CHRNA2	2	1	0.05	3	0.075	40
CHRNA3	8	4	0.186046511627907	3	0.0697674418604651	43
CHRNA4	13	6	0.166666666666667	4	0.0512820512820513	78
CHRNA5	3	1	0.1	3	0.1	30
CHRNA6	2	1	0.0384615384615385	8	0.153846153846154	52
CHRNA7	10	4	0.25	3	0.075	40
CHRNA9	6	3	0.181818181818182	4	0.121212121212121	33
CHRNB1	2	1	0.0645161290322581	7	0.225806451612903	31
CHRNB2	0	0	0	4	0.0930232558139535	43
CHRNB3	16	8	0.262295081967213	8	0.131147540983607	61
CHRNB4	6	3	0.117647058823529	1	0.0196078431372549	51
CHRND	12	6	0.218181818181818	7	0.127272727272727	55
CHRNE	4	2	0.222222222222222	1	0.0555555555555556	18
CHRNG	10	5	0.24390243902439	6	0.146341463414634	41
DRD1	4	2	0.142857142857143	2	0.0714285714285714	28
DRD2	12	6	0.210526315789474	3	0.0526315789473684	57
DRD3	8	4	0.153846153846154	7	0.134615384615385	52
DRD4	0	0	0	2	0.117647058823529	17
DRD5	19	9	0.283582089552239	1	0.0149253731343284	67
GABBR1	12	6	0.157894736842105	8	0.105263157894737	76
GABBR2	6	3	0.1	7	0.116666666666667	60
GABRA1	29	12	0.263636363636364	19	0.172727272727273	110
GABRA2	32	14	0.258064516129032	15	0.120967741935484	124
GABRA3	19	7	0.267605633802817	7	0.0985915492957746	71
GABRA4	22	11	0.207547169811321	10	0.0943396226415094	106
GABRA5	17	7	0.223684210526316	8	0.105263157894737	76
GABRA6	31	12	0.271929824561404	16	0.140350877192982	114
GABRB1	22	10	0.261904761904762	11	0.130952380952381	84
GABRB2	26	13	0.302325581395349	10	0.116279069767442	86
GABRB3	29	12	0.247863247863248	17	0.145299145299145	117
GABRD	5	2	0.15625	5	0.15625	32
GABRE	12	5	0.176470588235294	8	0.117647058823529	68
GABRG1	62	28	0.402597402597403	19	0.123376623376623	154
GABRG2	35	14	0.28	12	0.096	125
GABRG3	11	5	0.132530120481928	13	0.156626506024096	83
GABRP	6	3	0.15	4	0.1	40
GABRQ	17	8	0.202380952380952	12	0.142857142857143	84
GABRR1	2	1	0.0487804878048781	5	0.121951219512195	41
