name	SFE_1.x	SFE_2.x	type_1.x	type_2.x	int_type.x	support_1.x	support_2.x	freq_1.x	freq_2.x	overlap.x	max_overlap.x	freq_overlap.x	r_overlap.x	r_freq_overlap.x	diff_overlap.x	abs_diff_overlap.x	direction.x	wMI_stat.x	wMI_p.value.x	ME_p.value.x	E.r.wMI_stat.x	MI_diff.x	APC.x	FDR.x	APC_good.x	PartnerA	PartnerB	SFE_1_location	SFE_2_location	SFE_1_location_1	SFE_2_location_1	SFE_1_location_2	SFE_2_location_2	SFE_1_location_2_subloca	SFE_2_location_2_subloca	gene1	gene2	p.value	q.value	expect_freq.x	SFE_1.y	SFE_2.y	type_1.y	type_2.y	int_type.y	support_1.y	support_2.y	freq_1.y	freq_2.y	overlap.y	max_overlap.y	freq_overlap.y	r_overlap.y	r_freq_overlap.y	diff_overlap.y	abs_diff_overlap.y	direction.y	wMI_stat.y	wMI_p.value.y	ME_p.value.y	E.r.wMI_stat.y	MI_diff.y	APC.y	FDR.y	APC_good.y	expect_freq.y
ABL1_AMP - CHRNA4_AMP	ABL1_AMP	CHRNA4_AMP	AMP	AMP	AMP - AMP	46	169	0.00628157858801038	0.0230779735081251	0	37	0	3.954	0.106864864864865	-3.954	3.954	ME	0.00465962873558151	0.007	0.007	0.00044694442263099	0.00421268431295052	0.00338622837835357	TRUE	TRUE	ABL1	CHRNA4	9q34.12	20q13.33	9q34	20q13	9q	20q	34	13	ABL1_AMP	CHRNA4_AMP	0.142088327688813	0.207938156550283	0.000144966104243309	ABL1_AMP	CHRNA4_AMP	AMP	AMP	AMP - AMP	44	153	0.0115880958651567	0.0402949697129313	0	34	0	3.994	0.117470588235294	-3.994	3.994	ME	0.00895414372218811	0.008	0.008	0.00154278014281489	0.00741136357937322	0.0055956647747046	TRUE	TRUE	0.000466941971917033
ADORA1_AMP - ABL1_AMP	ADORA1_AMP	ABL1_AMP	AMP	AMP	AMP - AMP	173	46	0.0236241977331695	0.00628157858801038	0	29	0	3.562	0.122827586206897	-3.562	3.562	ME	0.00426622536847326	0.016	0.016	0.000930598050785936	0.00333562731768733	0.00212853450761297	TRUE	FALSE	ADORA1	ABL1	1q32.1	9q34.12	1q32	9q34	1q	9q	32	34	ABL1_AMP	ADORA1_AMP	0.135798708699306	0.201758081496112	0.000148397254639601	ADORA1_AMP	ABL1_AMP	AMP	AMP	AMP - AMP	167	44	0.043982091124572	0.0115880958651567	0	26	0	3.41	0.131153846153846	-3.41	3.41	ME	0.00856113040396922	0.031	0.031	0.0028419885318125	0.00571914187215672	0.0030137541549026	TRUE	FALSE	0.000509668688301598
ADORA1_AMP - CDK4_AMP	ADORA1_AMP	CDK4_AMP	AMP	AMP	AMP - AMP	173	164	0.0236241977331695	0.0223951932268196	2	67	0.0298507462686567	11.828	0.176537313432836	-9.828	9.828	ME	0.00717869664125981	0	0	0.000709772323174485	0.00646892431808532	0.0049779346967461	TRUE	TRUE	ADORA1	CDK4	1q32.1	12q14.1	1q32	12q14	1q	12q	32	14	CDK4_AMP	ADORA1_AMP	0.0289888012940694	0.0759140221730052	0.000529068473062924	ADORA1_AMP	CDK4_AMP	AMP	AMP	AMP - AMP	167	135	0.043982091124572	0.0355543850408217	2	59	0.0338983050847458	10.517	0.178254237288136	-8.517	8.517	ME	0.0144391779040279	0	0	0.00338993531952403	0.0110492425845039	0.00834264646147839	TRUE	TRUE	0.00156375620274354
ADORA1_AMP - FGFR1_AMP	ADORA1_AMP	FGFR1_AMP	AMP	AMP	AMP - AMP	173	327	0.0236241977331695	0.0446538303973781	6	114	0.0526315789473684	25.321	0.222114035087719	-19.321	19.321	ME	0.00662375866750864	0	0	0.000434809156312554	0.00618894951119608	0.00488649348839536	TRUE	TRUE	ADORA1	FGFR1	1q32.1	8p11.23	1q32	8p11	1q	8p	32	11	FGFR1_AMP	ADORA1_AMP	0.0162987635580656	0.0508521423011646	0.00105491091885108	ADORA1_AMP	FGFR1_AMP	AMP	AMP	AMP - AMP	167	230	0.043982091124572	0.0605741374769555	6	84	0.0714285714285714	19.366	0.230547619047619	-13.366	13.366	ME	0.0101941089436935	0	0	0.00120569137593163	0.00898841756776192	0.00683493322847224	TRUE	TRUE	0.00266417723430381
ADORA1_AMP - KIT_AMP	ADORA1_AMP	KIT_AMP	AMP	AMP	AMP - AMP	173	101	0.0236241977331695	0.0137921616823706	0	54	0	5.695	0.105462962962963	-5.695	5.695	ME	0.00803579075794925	0.002	0.002	0.00179643205145552	0.00623935870649373	0.00486366670539498	TRUE	TRUE	ADORA1	KIT	1q32.1	4q12	1q32	4q12	1q	4q	32	12	KIT_AMP	ADORA1_AMP	0.0127866964734354	0.043363579344694	0.000325828754752167	ADORA1_AMP	KIT_AMP	AMP	AMP	AMP - AMP	167	86	0.043982091124572	0.022649460100079	0	48	0	5.681	0.118354166666667	-5.681	5.681	ME	0.0148891647902788	0	0	0.00447949778396073	0.0104096670063181	0.00810953654335207	TRUE	TRUE	0.000996170618044033
ADORA1_AMP - KRAS_AMP	ADORA1_AMP	KRAS_AMP	AMP	AMP	AMP - AMP	173	205	0.0236241977331695	0.0279939915335245	4	85	0.0470588235294118	11.968	0.1408	-7.968	7.968	ME	0.00613384185018095	0.002	0.002	0.00157395997924759	0.00455988187093337	0.00219122921900953	TRUE	FALSE	ADORA1	KRAS	1q32.1	12p12.1	1q32	12p12	1q	12p	32	12	KRAS_AMP	ADORA1_AMP	0.0641885967615732	0.122239235521373	0.000661335591328656	ADORA1_AMP	KRAS_AMP	AMP	AMP	AMP - AMP	167	166	0.043982091124572	0.0437187253094548	4	77	0.051948051948052	11.241	0.145987012987013	-7.241	7.241	ME	0.0114338276262962	0.007	0.007	0.00463260377398766	0.00680122385230852	0.00291421130334648	TRUE	FALSE	0.00192284096041058
ADORA1_AMP - MDM2_AMP	ADORA1_AMP	MDM2_AMP	AMP	AMP	AMP - AMP	173	236	0.0236241977331695	0.0322272292776185	6	96	0.0625	15.25	0.158854166666667	-9.25	9.25	ME	0.00591390235469325	0.003	0.003	0.00132751411060938	0.00458638824408386	0.00318668881626184	TRUE	TRUE	ADORA1	MDM2	1q32.1	12q15	1q32	12q15	1q	12q	32	15	MDM2_AMP	ADORA1_AMP	0.128213368210443	0.194187237289603	0.000761342436846649	ADORA1_AMP	MDM2_AMP	AMP	AMP	AMP - AMP	167	186	0.043982091124572	0.0489860416117988	5	87	0.0574712643678161	14.317	0.164563218390805	-9.317	9.317	ME	0.0128781048663545	0	0	0.00402203385590061	0.00885607101045394	0.00638260423393396	TRUE	TRUE	0.00215450854600221
ADORA1_AMP - NBN_AMP	ADORA1_AMP	NBN_AMP	AMP	AMP	AMP - AMP	173	266	0.0236241977331695	0.0363239109654513	5	131	0.0381679389312977	24.617	0.187916030534351	-19.617	19.617	ME	0.00732431225261376	0	0	0.000662917285173648	0.00666139496744012	0.00408166666356687	TRUE	TRUE	ADORA1	NBN	1q32.1	8q21.3	1q32	8q21	1q	8q	32	21	NBN_AMP	ADORA1_AMP	0.0317700716237412	0.0786687487825973	0.000858123255089865	ADORA1_AMP	NBN_AMP	AMP	AMP	AMP - AMP	167	249	0.043982091124572	0.0655780879641823	5	119	0.0420168067226891	25.989	0.218394957983193	-20.989	20.989	ME	0.0149992910216781	0	0	0.000540294626540039	0.014458996395138	0.0105419097441325	TRUE	TRUE	0.00288426144061586
ADORA1_AMP - PDGFRA_AMP	ADORA1_AMP	PDGFRA_AMP	AMP	AMP	AMP - AMP	173	116	0.0236241977331695	0.015840502526287	0	54	0	6.075	0.1125	-6.075	6.075	ME	0.00878644991096189	0.003	0.003	0.00160717230485508	0.00717927760610682	0.00557584712299782	TRUE	TRUE	ADORA1	PDGFRA	1q32.1	4q12	1q32	4q12	1q	4q	32	12	PDGFRA_AMP	ADORA1_AMP	0.00674332807201139	0.0269733122880456	0.000374219163873775	ADORA1_AMP	PDGFRA_AMP	AMP	AMP	AMP - AMP	167	93	0.043982091124572	0.0244930208058994	0	48	0	5.818	0.121208333333333	-5.818	5.818	ME	0.0155126878863037	0.001	0.001	0.00501294688260301	0.0104997410037007	0.00743499279771241	TRUE	TRUE	0.00107725427300111
ADRA1A_DEL - KDM6A_DEL	ADRA1A_DEL	KDM6A_DEL	DEL	DEL	DEL - DEL	227	110	0.0309982247712686	0.0150211661887205	3	72	0.0416666666666667	14.396	0.199944444444444	-11.396	11.396	ME	0.00534053496923648	0	0	0.000466823778419445	0.00487371119081703	0.00345092325700982	TRUE	TRUE	ADRA1A	KDM6A	8p21.2	Xp11.3	8p21	Xp11	8p	Xp	21	11	KDM6A_DEL	ADRA1A_DEL	0.135641824080473	0.201758081496112	0.000465629485844538	ADRA1A_DEL	KDM6A_DEL	DEL	DEL	DEL - DEL	214	90	0.0563602844350803	0.0237029233605478	3	62	0.0483870967741935	14.662	0.236483870967742	-11.662	11.662	ME	0.00845290644792052	0	0	0.000581398407262512	0.007871508040658	0.00606031932985426	TRUE	TRUE	0.00133590350254338
