miRNA	Estimate	StdError	tValue	pValue	Disease	nRgene
hsa-miR-33b-5p	-0.229502073652421	0.0886110224722189	-2.58999464456438	0.0119083326276535	ACC	ADRA2A
hsa-miR-199a-3p	-29.1793165536325	13.1841569607969	-2.21321064671766	0.031883215513901	ACC	ADRB1
hsa-miR-25-3p	-0.567152579979133	0.20846554793996	-2.72060580553329	0.00916705654405402	ACC	ADRB1
hsa-let-7c-5p	-0.741528851728439	0.296320859029291	-2.50245242321986	0.0150761686900736	ACC	ADRB2
hsa-miR-424-5p	-0.466738571112142	0.126448363667224	-3.69113966820848	0.000454409671665466	ACC	GABBR1
hsa-miR-409-3p	-0.578582137858465	0.260697949603467	-2.2193582217985	0.0328514993881724	ACC	GABBR2
hsa-miR-23b-3p	-0.274308708215552	0.117744599133423	-2.32969248894989	0.0235912692568678	ACC	GABRB2
hsa-miR-31-5p	-0.265064058541427	0.103545044659044	-2.5598912957567	0.0125109781760314	ACC	OPRL1
hsa-let-7g-5p	-1.59567161241706	0.672499242147733	-2.37274856596274	0.0205783092490737	ACC	P2RX1
hsa-miR-532-3p	-0.163357403557537	0.0734948009202471	-2.2227069331721	0.0294674629494978	ACC	P2RX6
hsa-miR-30a-5p	-0.546569716576908	0.255685731358986	-2.1376621748576	0.0370043305892762	ACC	P2RY2
hsa-miR-338-3p	-0.39395630693681	0.102316392675203	-3.85037330418204	0.000137590139159322	BLCA	ADORA1
hsa-miR-424-5p	-0.282948281947482	0.143673710266384	-1.96938104697701	0.049618589414865	BLCA	ADORA2A
hsa-miR-15b-5p	-0.56449167262032	0.237805261504758	-2.37375602645791	0.0180930170230264	BLCA	ADORA2A
hsa-miR-374b-5p	-0.1926158337108	0.0741147063077978	-2.59888817356798	0.00970731586647908	BLCA	ADORA2B
hsa-miR-23a-3p	-0.340245312162194	0.0722970194464995	-4.70621492790554	3.53435936920151e-06	BLCA	ADRA2A
hsa-miR-1271-5p	-0.285667618680257	0.0787300672752704	-3.62844372635239	0.000322960507303523	BLCA	ADRA2C
hsa-let-7f-5p	-0.246426273458709	0.0991500925633995	-2.48538621687253	0.0133869225211785	BLCA	ADRB1
hsa-let-7i-5p	-0.204603407328122	0.0849399258499285	-2.40880134142823	0.0164983989164312	BLCA	ADRB1
hsa-miR-374b-5p	-0.214337468749507	0.0826530958535344	-2.59321767123308	0.00988967641511165	BLCA	ADRB1
hsa-let-7g-5p	-1.18071109237606	0.215789192386578	-5.47159512169108	8.10903606370208e-08	BLCA	ADRB2
hsa-miR-30a-5p	-0.197494431694615	0.0918370074195971	-2.150488536634	0.0321692314474821	BLCA	CHRM3
hsa-miR-181d-5p	-0.340205363272945	0.160331002320112	-2.12189382184303	0.0345161483388917	BLCA	CHRM3
hsa-miR-148b-3p	-0.300847894586606	0.131161685043746	-2.29371782229136	0.0223377652382522	BLCA	CHRNB2
