ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0099177	regulation of trans-synaptic signaling	119/1875	490/18870	8.37859104749983e-21	3.24736304531977e-17	2.44076858546967e-17	CBLN1/CPEB3/JPH4/GABBR1/CACNG2/JPH3/MAPT/GRIA2/INA/SHANK2/SHISA7/FABP5/NOG/SORCS3/CUX2/SLC1A1/PLCB1/NALCN/NTNG2/OPHN1/KCNB1/GRID1/GRIA4/TNR/LRRC4C/SLC8A3/EPHB1/DLGAP1/RIMS2/ZDHHC12/LRRTM2/PLAT/GRIK2/STX1B/SLC8A2/ASIC1/PRKCE/MAPK8IP2/GPR158/CHRNB2/UNC13A/GRIN3A/DLGAP3/CPLX1/CACNA1A/NRXN1/CPLX2/GRID2IP/SYN3/FRRS1L/MYOF/HTR2A/SYP/CDC20/GRID2/LAMA2/GRIN1/DGKI/GRIK1/CBLN2/CHRM1/STXBP1/ARHGAP44/GRM4/SHANK1/ROR2/SYN1/LRRTM1/NRG3/TYROBP/GRIA1/CELF4/SLC38A1/KMO/NETO1/CCR2/ERC2/TACR1/ADGRB1/CACNG4/CA2/RIMS1/RASGRF1/CACNA1B/SNAP25/GRIN2B/PRKCB/SYT4/MME/RAB3A/CAMKV/DLGAP2/ARC/DCC/NGFR/NR2E1/CNTN4/PPFIA2/NTNG1/CHRNA7/CALB1/GRM1/CCL2/UNC13C/NEURL1/CACNG8/CACNG3/SNCG/GRM5/SLC4A10/SV2B/PRKCG/SHISA6/CAMK2A/SHISA9/SCGN/SYT1/NEUROD2/NEFL	119
GO:0050804	modulation of chemical synaptic transmission	118/1875	489/18870	2.13784706527305e-20	3.24736304531977e-17	2.44076858546967e-17	CBLN1/CPEB3/JPH4/GABBR1/CACNG2/JPH3/MAPT/GRIA2/INA/SHANK2/SHISA7/NOG/SORCS3/CUX2/SLC1A1/PLCB1/NALCN/NTNG2/OPHN1/KCNB1/GRID1/GRIA4/TNR/LRRC4C/SLC8A3/EPHB1/DLGAP1/RIMS2/ZDHHC12/LRRTM2/PLAT/GRIK2/STX1B/SLC8A2/ASIC1/PRKCE/MAPK8IP2/GPR158/CHRNB2/UNC13A/GRIN3A/DLGAP3/CPLX1/CACNA1A/NRXN1/CPLX2/GRID2IP/SYN3/FRRS1L/MYOF/HTR2A/SYP/CDC20/GRID2/LAMA2/GRIN1/DGKI/GRIK1/CBLN2/CHRM1/STXBP1/ARHGAP44/GRM4/SHANK1/ROR2/SYN1/LRRTM1/NRG3/TYROBP/GRIA1/CELF4/SLC38A1/KMO/NETO1/CCR2/ERC2/TACR1/ADGRB1/CACNG4/CA2/RIMS1/RASGRF1/CACNA1B/SNAP25/GRIN2B/PRKCB/SYT4/MME/RAB3A/CAMKV/DLGAP2/ARC/DCC/NGFR/NR2E1/CNTN4/PPFIA2/NTNG1/CHRNA7/CALB1/GRM1/CCL2/UNC13C/NEURL1/CACNG8/CACNG3/SNCG/GRM5/SLC4A10/SV2B/PRKCG/SHISA6/CAMK2A/SHISA9/SCGN/SYT1/NEUROD2/NEFL	118
GO:0050808	synapse organization	117/1875	483/18870	2.24434047124314e-20	3.24736304531977e-17	2.44076858546967e-17	CBLN1/DNM3/CACNG2/MAPT/INA/WNT7B/SHANK2/GABRB3/SHISA7/CUX2/SLC1A1/RAP2A/SLITRK5/LAMB2/NTNG2/CDK5R1/OPHN1/GRID1/TNR/WASF1/SPTBN2/LRRC4C/PTPRT/LRRTM3/SLC8A3/EPHB1/ZNF804A/NECTIN1/SLIT1/DSCAM/SLITRK1/ZDHHC12/LRRTM2/ADGRB3/FLNA/IL1RAPL1/SRPX2/CTTNBP2/SLC8A2/ACTN1/CHRNA1/GPR158/CHRNB2/UNC13A/SEZ6L/COL4A1/DLGAP3/LHFPL4/L1CAM/NRXN1/FGF13/LRP4/GABRG2/TNC/BSN/PAK3/AMIGO2/FRRS1L/CDC20/GRID2/GDNF/DRP2/CBLN2/ABI3/ARHGAP44/CDH10/SHANK1/ROR2/C3/SYN1/HIP1R/LRRTM1/NEGR1/NRG3/FCGR2B/ITGB3/GRIA1/TLR2/TREM2/ERC2/ADGRB1/C1QB/SNCB/PCDHGC4/LRFN5/LRTM2/C1QL1/SNAP25/GRIN2B/IL1RAP/C1QA/CDH9/SEZ6L2/RAB3A/ST8SIA2/CAMKV/ARC/PPFIA2/NTNG1/CHRNA7/GABRA1/UNC13C/NEURL1/GABRB2/SNCG/GRM5/ASIC2/LMX1A/SLITRK4/ICAM5/FRMPD4/SHISA6/SEMA3E/NEUROD2/NEFL/C1QL3/NPTX1	117
GO:0030198	extracellular matrix organization	90/1875	321/18870	2.28165329022995e-20	3.24736304531977e-17	2.44076858546967e-17	PDPN/TNFRSF11B/SERPINH1/BMP2/TGFB2/ANXA2/FERMT1/SMOC1/EMILIN1/ADAMTSL4/MMP14/LAMB2/LOX/EFEMP2/TNR/LOXL1/LOXL4/SMPD3/FMOD/PTX3/SLC2A10/C6orf15/COL4A2/LAMC1/COL5A2/COL8A1/NPNT/TNFRSF1A/ECM2/COL4A1/FKBP10/AEBP1/SULF2/ADAMTS20/COL5A1/FBLN5/COL1A2/POSTN/SFRP2/MMP11/CAV2/COL8A2/HPSE2/COL1A1/LAMA2/NTN4/RUNX1/DPP4/FAP/VWA1/ADAMTS7/THSD4/TLL1/MATN2/LUM/WT1/MFAP4/ITGB3/COL3A1/SPINT1/LOXL2/ADAMTS3/CTSS/PDGFRA/LAMB1/ADAMTS18/COL14A1/IBSP/ADAMTS19/COL15A1/MMP9/COL12A1/CAV1/NR2E1/OLFML2B/COL27A1/IL6/MIA/RXFP1/COL22A1/CARMIL2/TGFBI/ADAMTS14/COL9A3/CCN1/COL4A6/SULF1/MMP7/KLK7/NDNF	90
GO:0043062	extracellular structure organization	90/1875	322/18870	2.86662831583192e-20	3.26394300040623e-17	2.45323033765406e-17	PDPN/TNFRSF11B/SERPINH1/BMP2/TGFB2/ANXA2/FERMT1/SMOC1/EMILIN1/ADAMTSL4/MMP14/LAMB2/LOX/EFEMP2/TNR/LOXL1/LOXL4/SMPD3/FMOD/PTX3/SLC2A10/C6orf15/COL4A2/LAMC1/COL5A2/COL8A1/NPNT/TNFRSF1A/ECM2/COL4A1/FKBP10/AEBP1/SULF2/ADAMTS20/COL5A1/FBLN5/COL1A2/POSTN/SFRP2/MMP11/CAV2/COL8A2/HPSE2/COL1A1/LAMA2/NTN4/RUNX1/DPP4/FAP/VWA1/ADAMTS7/THSD4/TLL1/MATN2/LUM/WT1/MFAP4/ITGB3/COL3A1/SPINT1/LOXL2/ADAMTS3/CTSS/PDGFRA/LAMB1/ADAMTS18/COL14A1/IBSP/ADAMTS19/COL15A1/MMP9/COL12A1/CAV1/NR2E1/OLFML2B/COL27A1/IL6/MIA/RXFP1/COL22A1/CARMIL2/TGFBI/ADAMTS14/COL9A3/CCN1/COL4A6/SULF1/MMP7/KLK7/NDNF	90
GO:0045229	external encapsulating structure organization	90/1875	323/18870	3.59724895029765e-20	3.41318971234076e-17	2.56540648823859e-17	PDPN/TNFRSF11B/SERPINH1/BMP2/TGFB2/ANXA2/FERMT1/SMOC1/EMILIN1/ADAMTSL4/MMP14/LAMB2/LOX/EFEMP2/TNR/LOXL1/LOXL4/SMPD3/FMOD/PTX3/SLC2A10/C6orf15/COL4A2/LAMC1/COL5A2/COL8A1/NPNT/TNFRSF1A/ECM2/COL4A1/FKBP10/AEBP1/SULF2/ADAMTS20/COL5A1/FBLN5/COL1A2/POSTN/SFRP2/MMP11/CAV2/COL8A2/HPSE2/COL1A1/LAMA2/NTN4/RUNX1/DPP4/FAP/VWA1/ADAMTS7/THSD4/TLL1/MATN2/LUM/WT1/MFAP4/ITGB3/COL3A1/SPINT1/LOXL2/ADAMTS3/CTSS/PDGFRA/LAMB1/ADAMTS18/COL14A1/IBSP/ADAMTS19/COL15A1/MMP9/COL12A1/CAV1/NR2E1/OLFML2B/COL27A1/IL6/MIA/RXFP1/COL22A1/CARMIL2/TGFBI/ADAMTS14/COL9A3/CCN1/COL4A6/SULF1/MMP7/KLK7/NDNF	90
GO:0007159	leukocyte cell-cell adhesion	98/1875	419/18870	3.57014563990167e-16	2.90354844685146e-13	2.18235218439102e-13	ANXA1/MSN/IGFBP2/FOXJ1/SOCS1/ACTL6B/TNFRSF14/PTPN22/F11R/GATA3/FUT9/LGALS1/HFE/PLA2G2A/TNFSF14/PDCD1LG2/LGALS3/IL2RG/DUSP10/ITGA5/CD3E/LCK/CD74/HLA-DPB1/HLA-DMA/CCL5/ASCL2/RAC2/HLA-DRA/IL15/ZAP70/HLA-DRB1/IRF1/SLAMF1/IL7/HLA-DPA1/PLA2G5/CD5/HLA-DOA/CEACAM1/HLA-DQA1/ICOS/HLA-DMB/PIK3R6/CD40LG/IDO1/LGALS9C/RUNX1/DPP4/GPNMB/CD6/CD80/SKAP1/SIRPG/IL4I1/DAPL1/FERMT3/HLA-DQB1/SPN/HLA-DQB2/IL18/ITGAL/ITGB7/RHOH/SASH3/FCGR2B/CD44/ITGB2/ICAM1/HLA-DRB5/ALOX5/RUNX3/CCR2/HAVCR2/KLRK1/HLA-DQA2/FGL2/LILRB1/CD24/OLR1/SELL/SOX4/PTPRC/JAK3/LILRB4/CLECL1P/HLA-DOB/SDC4/VNN1/VCAM1/CAV1/IL6/S100A9/CCL2/MADCAM1/S100A8/TNFSF13B/TESPA1	98
GO:0045785	positive regulation of cell adhesion	106/1875	482/18870	1.98570111153741e-15	1.41307455349781e-12	1.06208881821047e-12	PDPN/ANXA1/DUSP26/IGFBP2/TGFB2/FERMT1/EMILIN1/LAMB2/VAV3/SOCS1/ACTL6B/EFEMP2/TNFRSF14/PTPN22/F11R/LAMC1/GATA3/COL8A1/NPNT/LGALS1/FLNA/EMILIN2/TNFSF14/ECM2/SAA1/PDCD1LG2/PRKCE/IL2RG/DUSP10/ITGA5/PLAUR/EPHA1/CD3E/LCK/CD74/HLA-DPB1/HLA-DMA/CCL5/RHOD/HLA-DRA/SFRP2/IL15/ZAP70/HLA-DRB1/SLAMF1/IL7/LIF/HLA-DPA1/CD5/HLA-DOA/HLA-DQA1/LAMA2/ICOS/HLA-DMB/PIK3R6/CD40LG/ANGPT1/RUNX1/DPP4/CD6/CD80/SKAP1/SIRPG/IL4I1/HLA-DQB1/SPN/HLA-DQB2/IL18/ITGA2/RHOH/SASH3/CD44/ITGB2/ITGB3/HLA-DRB5/VWC2/ALOX5/RUNX3/CCR2/HAVCR2/KLRK1/HLA-DQA2/LAMB1/S100A10/LILRB1/IBSP/CD24/SOX4/PTPRC/LILRB4/CLECL1P/HLA-DOB/SDC4/COL26A1/VNN1/VCAM1/CAV1/IL6/RET/MMRN1/CCL2/TNFSF13B/CCN1/OLFM4/NDNF/TESPA1	106
GO:0042391	regulation of membrane potential	99/1875	440/18870	3.68662107061683e-15	2.33199263944685e-12	1.75276194760905e-12	CLIC1/CBLN1/GABBR1/CACNG2/MAPT/GRIA2/SLC1A6/GABRB3/CUX2/CHRNA4/NALCN/PID1/AKAP6/KCNIP2/GLRA3/KCNB1/GRID1/GABRA3/GRIA4/SOD2/SLC8A3/RIMS2/KCNK3/FGF12/GRIK2/STX1B/FLNA/SLC25A27/KCNJ9/SLC8A2/ASIC1/MAPK8IP2/CHRNA1/CHRNB2/GRIN3A/KCNJ11/GJC1/SCN3B/CHRNA9/ATP1A3/DSG2/NRXN1/FGF13/GABRG2/INSYN2B/NPPA/KCNQ5/KCNH1/GRID2/GRIN1/GRIK1/GABRD/CHRM1/SCN1A/TSPO/CTNNA3/SHANK1/UCP2/KCNK5/IFI6/GJD2/KCNH8/KCNN4/GABRG1/GRIA1/CELF4/TREM2/HSH2D/NETO1/CACNA1I/TACR1/KCNC1/GLRA1/KCNE4/KCNK12/RIMS1/GRIN2B/RGS7BP/CACNA2D1/SCN8A/KCNJ3/SCN2B/CAV1/KCNK4/KCNC2/GABRB1/CHRNA7/KCNA4/KCNE5/GRM1/GABRA1/GABRB2/KCNH7/GRM5/ASIC2/GABRA4/HCN1/GABRA5/RYR2	99
GO:0050867	positive regulation of cell activation	92/1875	396/18870	4.54033703084838e-15	2.58481387166198e-12	1.94278631898933e-12	ANXA1/IGFBP2/CLCF1/MMP14/VAV3/SOCS1/ACTL6B/TNFRSF14/PTPN22/TAFA3/GATA3/LGALS1/FLNA/TNFSF14/PDCD1LG2/KLRC2/CD2/IL2RG/CHRNB2/TOX/DUSP10/CD3E/LCK/CD74/TICAM2/HLA-DPB1/HLA-DMA/CCL5/HLA-DRA/IL15/ZAP70/HLA-DRB1/SLAMF1/IL7/HLA-DPA1/CD5/MYD88/HLA-DOA/HLA-DQA1/FCGR3A/ICOS/HLA-DMB/PIK3R6/CD40LG/STXBP1/RUNX1/DPP4/CD6/CD80/SIRPG/IL4I1/VAMP8/BST1/RPS6KA1/HLA-DQB1/CTSC/SPN/HLA-DQB2/IL18/HAMP/RHOH/LILRA2/SASH3/ITGB2/HLA-DRB5/TYROBP/SPI1/CD226/TREM2/RUNX3/CCR2/TACR1/CLEC7A/CEBPA/HAVCR2/KLRK1/HLA-DQA2/LILRB1/CD24/SOX4/PTPRC/LILRB4/CLECL1P/HLA-DOB/VNN1/VCAM1/CAV1/F2RL1/IL6/CCL2/TNFSF13B/TESPA1	92
