Lsocre	Hscore	pvalue	qvalue	log2FC
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.283144440719925	0.398750300191824	1.40042341679542e-40	7.0021170839771e-39	-0.493947400867924
HALLMARK_ANGIOGENESIS	0.233376165308728	0.353158433235678	1.04051874272993e-39	2.60129685682482e-38	-0.597658321477786
HALLMARK_COAGULATION	0.139491301745791	0.243660190618575	2.52931798026512e-39	4.21552996710853e-38	-0.804695398960615
HALLMARK_GLYCOLYSIS	0.334565289959695	0.370456139732748	6.33998697527631e-33	7.92498371909539e-32	-0.147014966014427
HALLMARK_HEDGEHOG_SIGNALING	0.537727721739143	0.479743127918174	3.49791970314226e-30	3.49791970314226e-29	0.164613708811358
HALLMARK_APOPTOSIS	0.370908435595294	0.431406892057385	7.80057254409299e-30	6.50047712007749e-29	-0.217986145323367
HALLMARK_PANCREAS_BETA_CELLS	0.0861117719680055	0.00467996091081726	5.07917842922692e-29	3.62798459230494e-28	4.20164209078504
HALLMARK_ESTROGEN_RESPONSE_LATE	0.221042352572563	0.255110002478618	6.63817850603462e-29	4.14886156627164e-28	-0.206796643876227
HALLMARK_COMPLEMENT	0.250631358210748	0.322500066668678	1.26306904106384e-28	6.31534520531922e-28	-0.363732527337469
HALLMARK_IL2_STAT5_SIGNALING	0.219189589006375	0.267930141647422	1.22414192891814e-28	6.31534520531922e-28	-0.289677615564647
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.270584521097503	0.390320527433987	7.71852505567625e-28	3.50842047985284e-27	-0.528580026176857
HALLMARK_MTORC1_SIGNALING	0.543326092738381	0.574047199467315	3.96323153132833e-25	1.6513464713868e-24	-0.0793510306658413
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.357842610352396	0.466306441601801	1.3832567097735e-24	5.32021811451346e-24	-0.381953171830187
HALLMARK_ALLOGRAFT_REJECTION	0.142757011136439	0.238552876727998	5.60807472928224e-24	2.00288383188651e-23	-0.74074748248692
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.488202425659085	0.506009829009263	1.6255165001992e-23	5.41838833399733e-23	-0.0516859456403776
HALLMARK_XENOBIOTIC_METABOLISM	0.235441164143023	0.26473858488622	3.438963973278e-22	1.07467624164937e-21	-0.169201897964768
HALLMARK_INFLAMMATORY_RESPONSE	0.102492439397818	0.166606230928173	3.12223375873427e-21	9.1830404668655e-21	-0.700924867478686
HALLMARK_HYPOXIA	0.345097610122553	0.390353363270032	4.33045268741465e-21	1.20290352428185e-20	-0.177776217109246
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0661719019342154	0.143126914613038	6.24303920448083e-21	1.64290505381075e-20	-1.11300434064266
HALLMARK_P53_PATHWAY	0.370108419510388	0.406634439745088	7.97828658956096e-21	1.99457164739024e-20	-0.135784453304912
HALLMARK_KRAS_SIGNALING_UP	0.189133806638986	0.233582859911065	2.64029803420302e-20	6.28642389095958e-20	-0.304527154279699
HALLMARK_APICAL_JUNCTION	0.34751411264245	0.368692876993611	1.06333063906016e-19	2.41666054331855e-19	-0.0853479771175173
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.47146531117812	0.510427335176784	1.62554334459987e-17	3.53378987956493e-17	-0.114553966371852
HALLMARK_ADIPOGENESIS	0.489870178625609	0.515569167905105	2.056360469714e-17	4.28408431190416e-17	-0.0737665214729243
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.237407517633402	0.304822562448811	4.09551374745375e-17	8.19102749490749e-17	-0.360604073224964
HALLMARK_PEROXISOME	0.384672642379343	0.398538525270072	2.8146997667044e-15	5.41288416673923e-15	-0.0510879611124318
HALLMARK_UV_RESPONSE_UP	0.425531433696982	0.447508523429906	3.89406669671616e-15	7.21123462354845e-15	-0.0726494541177318
HALLMARK_MYOGENESIS	0.274205467815412	0.299585723825598	2.75584832967023e-14	4.92115773155398e-14	-0.127711537034883
HALLMARK_TGF_BETA_SIGNALING	0.529952950936189	0.560428340273278	1.26999647349889e-13	2.18964909223947e-13	-0.0806656298596369
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.47526065495732	0.499100970506642	7.32676065108743e-12	1.22112677518124e-11	-0.070612737890764
HALLMARK_APICAL_SURFACE	0.164291550305426	0.18186340520255	1.60000895910438e-11	2.58065961145868e-11	-0.146596988360447
HALLMARK_E2F_TARGETS	0.337592689522699	0.390696836980644	1.54296200988809e-09	2.41087814045014e-09	-0.210765912522558
HALLMARK_BILE_ACID_METABOLISM	0.169953370486796	0.195155561839226	2.52120453613024e-09	3.8200068729246e-09	-0.199485606024551
HALLMARK_FATTY_ACID_METABOLISM	0.396562530930778	0.410839423665516	1.08180929381625e-07	1.54544184830894e-07	-0.0510262561297812
HALLMARK_G2M_CHECKPOINT	0.348611590562223	0.393141869295624	1.07353342783476e-07	1.54544184830894e-07	-0.173429481144294
HALLMARK_UV_RESPONSE_DN	0.436827001647675	0.456705329465995	6.06027794810992e-07	8.41705270570823e-07	-0.0642015886431936
HALLMARK_ANDROGEN_RESPONSE	0.484128498323719	0.499144235349804	8.20254030070955e-06	1.10845139198778e-05	-0.0440667433334324
HALLMARK_MYC_TARGETS_V1	0.700428852980695	0.715064097295935	7.03400467044501e-05	9.25526930321712e-05	-0.0298340543778535
HALLMARK_DNA_REPAIR	0.438640669294326	0.453890626889396	0.000141704275632455	0.000181672148246737	-0.0493051160082629
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.559228933695699	0.569401346657854	0.000152054978639497	0.000190068723299371	-0.0260068995200718
HALLMARK_MITOTIC_SPINDLE	0.528717093666114	0.541882078369824	0.000172021074704912	0.000209781798420625	-0.0354829632900051
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.431600288893555	0.413402318907269	0.000231341338710358	0.000275406355607569	0.0621493491715369
HALLMARK_KRAS_SIGNALING_DN	-0.129870306887876	-0.139331220156761	0.00113498687384036	0.00131975217888414	-0.101446945492269
HALLMARK_SPERMATOGENESIS	-0.0391605085599661	-0.047207094972682	0.00158358328941114	0.00179952646523993	-0.269604204497557
HALLMARK_NOTCH_SIGNALING	0.473999509703188	0.486543644704529	0.0122465404510358	0.0136072671678176	-0.0376836588888761
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.621345455552386	0.630522496473499	0.0342188856382609	0.0371944409111531	-0.0211522446511661
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.282008953648909	0.286313927585008	0.0807948224998136	0.0859519388295889	-0.0218568829321809
HALLMARK_PROTEIN_SECRETION	0.619973385125205	0.623481734165434	0.0986015095732273	0.102709905805445	-0.00814101146776374
HALLMARK_MYC_TARGETS_V2	0.393439220756713	0.399918198389772	0.257926366427758	0.263190169824243	-0.0235641502276457
HALLMARK_HEME_METABOLISM	0.352567239825709	0.352062262085915	0.711649608560237	0.711649608560237	0.00206783566032152
