category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Substance dependence	hsa05033	Nicotine addiction	25/925	41/9447	9.70228176115282e-16	3.21145526294158e-13	2.43067690437302e-13	GRIA2/GABRB3/CHRNA4/GABRA3/GRIA4/CHRNB2/GRIN3A/CACNA1A/GABRG2/GRIN1/GABRD/GABRG1/GRIA1/CACNA1B/GRIN2B/GABRB1/SLC17A6/CHRNA7/GABRA1/GABRB2/SLC17A8/GABRA4/SLC17A7/GABRA5/SLC32A1	25
NA	NA	hsa04082	Neuroactive ligand signaling	58/925	199/9447	6.93838993391411e-15	1.14830353406278e-12	8.69124633827136e-13	GABBR1/GRIA2/SLC1A6/GABRB3/GNG5/SLC1A1/CHRNA4/PLCB1/GNAL/GLRA3/GABRA3/GRIA4/GNG12/GRIK2/GNAI1/CHRM4/GNG4/CHRNB2/GRIN3A/HTR1A/HRH3/ADCY5/GABRG2/HTR2A/GRIN1/GRIK1/GABRD/CHRM1/GRM4/P2RY6/P2RY2/GABRG1/GRIA1/SLC17A9/TACR1/GLRA1/HTR2C/GRIN2B/PRKCB/GABBR2/HTR6/GABRB1/SLC17A6/CHRNA7/GRM1/GABRA1/GABRB2/HTR5A/GRM5/GNG13/SLC17A8/GABRA4/OPRK1/SLC17A7/PRKCG/GABRA5/SLC32A1/TAC1	58
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	84/925	370/9447	5.92695850038461e-14	6.53941087875769e-12	4.94953025646154e-12	GABBR1/GRIA2/PRLHR/GABRB3/CHRNA4/GLRA3/GRID1/GABRA3/GRIA4/SSTR2/F2RL2/SSTR1/GRIK2/CHRM4/CHRNA1/CHRNB2/GRIN3A/HTR1A/CHRNA9/HRH3/CALCRL/GZMA/GABRG2/LPAR6/HTR2A/GRID2/CRHR1/GRIN1/GRIK1/GABRD/CHRM1/S1PR3/GLP1R/TSPO/SSTR5/GRM4/C3/P2RY6/P2RY2/NMUR2/GABRG1/GRIA1/BDKRB2/VIPR2/PTGER4/TACR1/GLRA1/HTR2C/PTGER2/GPR156/GRIN2B/GABBR2/HTR6/ADM2/TSHR/ADM/P2RY8/F2RL1/LYPD6/GABRB1/CHRNA7/FPR1/GRM1/RXFP1/GABRA1/ADCYAP1R1/PTGER3/GABRB2/CCKBR/PTGFR/NTS/HTR5A/GRM5/APLNR/FPR3/GABRA4/OPRK1/NPY2R/MCHR2/GABRA5/GPR83/CCK/VIP/TAC1	84
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecules	48/925	160/9447	4.79204365682029e-13	3.96541612601879e-11	3.00133260611376e-11	CD58/SLITRK5/NTNG2/LRRC4C/NECTIN1/SLITRK1/F11R/PDCD1LG2/CD2/L1CAM/NRXN1/HLA-DPB1/HLA-DMA/HLA-DRA/HLA-DRB1/HLA-B/HLA-DPA1/HLA-DOA/HLA-DQA1/ICOS/HLA-DMB/CD40LG/CD6/CD80/HLA-DQB1/SPN/HLA-DQB2/ITGAL/PDCD1/ITGB7/SDC1/NEGR1/ITGB2/CNTNAP2/ICAM1/HLA-DRB5/CD226/CNTN1/HLA-DQA2/SELL/PTPRC/HLA-DOB/SDC4/VCAM1/CD8A/NTNG1/MADCAM1/SLITRK4	48
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	31/925	89/9447	1.04398525623648e-10	6.38942577565767e-09	4.83600996853721e-09	LAMB2/TNR/COL4A2/LAMC1/NPNT/ITGA5/COL4A1/COL1A2/COL6A2/TNC/SPP1/ITGA7/LAMB4/COL1A1/LAMA2/HSPG2/ITGB4/ITGA2/ITGB7/SDC1/CD44/ITGB3/THBS4/LAMB1/IBSP/SDC4/FREM2/COL6A3/COL9A3/COL4A6/SV2B	31
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	27/925	70/9447	1.15820406809505e-10	6.38942577565767e-09	4.83600996853721e-09	CASP8/HLA-DPB1/HLA-DMA/RAC2/HLA-DRA/HLA-DRB1/HLA-B/HLA-DPA1/HLA-DOA/HLA-DQA1/LAMA2/HLA-DMB/CD40LG/CD80/PRF1/HLA-DQB1/HLA-DQB2/ITGAL/ITGB2/ICAM1/HLA-DRB5/SGCD/HLA-DQA2/MYH7/HLA-DOB/MYH6/CAV1	27
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	33/925	102/9447	2.4615656766402e-10	1.1639689128113e-08	8.80981400060705e-09	C1R/C1S/FCGR2C/HLA-DPB1/CFI/HLA-DMA/HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DOA/HLA-DQA1/FCGR3A/CFH/HLA-DMB/C2/CFB/FCGR2A/C3/HLA-DQB1/HLA-DQB2/ITGAL/FCGR2B/ITGB2/ICAM1/HLA-DRB5/C1QB/HLA-DQA2/C1QA/KRT18/HLA-DOB/C4A/FPR1/FPR3	33
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	22/925	50/9447	3.02724592691509e-10	1.25252300226112e-08	9.4800596132341e-09	LTBR/HLA-DPB1/HLA-DMA/HLA-DRA/IL15/HLA-DRB1/HLA-DPA1/HLA-DOA/HLA-DQA1/ICOS/HLA-DMB/CD40LG/CD80/HLA-DQB1/HLA-DQB2/ITGB7/HLA-DRB5/HLA-DQA2/HLA-DOB/IL6/MADCAM1/TNFSF13B	22
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	42/925	159/9447	1.173214833844e-09	4.31482344447072e-08	3.26579099947219e-08	TUBA1C/ATP6V1G2/MRC2/C1R/TUBB6/SEC61G/ITGA5/TCIRG1/FCGR2C/HLA-DPB1/HLA-DMA/MSR1/COLEC12/HLA-DRA/NCF1/HLA-DRB1/HLA-B/HLA-DPA1/HLA-DOA/HLA-DQA1/FCGR3A/HLA-DMB/FCGR2A/CYBA/C3/HLA-DQB1/HLA-DQB2/ITGA2/FCGR2B/ITGB2/ITGB3/HLA-DRB5/THBS4/TLR2/CTSS/CLEC7A/HLA-DQA2/COLEC11/OLR1/HLA-DOB/DYNC1I1/MRC1	42
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	30/925	95/9447	3.09912906697133e-09	1.02581172116751e-07	7.76413387304396e-08	ATP6V1G2/TGFB2/TCIRG1/HLA-DPB1/HLA-DMA/CCL5/HLA-DRA/IL15/HLA-DRB1/HLA-DPA1/HLA-DOA/HLA-DQA1/HLA-DMB/ANGPT1/CD80/HLA-DQB1/HLA-DQB2/IL18/ITGAL/ITGB2/ICAM1/HLA-DRB5/LTB/TLR2/HLA-DQA2/HLA-DOB/IL6/CCL2/ACP5/TNFSF13B	30
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	19/925	44/9447	7.3256213756323e-09	2.20434606848572e-07	1.66841903100525e-07	HLA-DPB1/HLA-DMA/HLA-DRA/HLA-DRB1/HLA-B/HLA-DPA1/HLA-DOA/HLA-DQA1/HLA-DMB/CD80/PRF1/HLA-DQB1/HLA-DQB2/HLA-DRB5/GAD1/HLA-DQA2/PTPRN/HLA-DOB/GAD2	19
Organismal Systems	Nervous system	hsa04727	GABAergic synapse	28/925	89/9447	1.1418184738986e-08	3.14951595717031e-07	2.38379646305146e-07	GABBR1/GABRB3/GNG5/GABRA3/GNG12/GNAI1/GNG4/ADCY5/CACNA1A/GABRG2/GABRD/GABRG1/GAD1/SLC38A1/CACNA1B/PRKCB/GABBR2/GABRB1/GABRA1/SLC12A5/GABRB2/GLS2/GNG13/GABRA4/PRKCG/GABRA5/SLC32A1/GAD2	28
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	32/925	112/9447	1.45835466473985e-08	3.71319533868376e-07	2.81043247132051e-07	TGFB2/CASP8/LAMB2/SOCS1/LAMC1/TNFRSF1A/GNAI1/CIITA/HLA-DPB1/HLA-DMA/HLA-DRA/HLA-DRB1/LAMB4/HLA-DPA1/MYD88/HLA-DOA/HLA-DQA1/LAMA2/HLA-DMB/PIK3R6/CD40LG/CCR5/HLA-DQB1/HLA-DQB2/HLA-DRB5/TLR2/ALOX5/HSPA6/LY96/HLA-DQA2/LAMB1/HLA-DOB	32
Human Diseases	Substance dependence	hsa05032	Morphine addiction	28/925	91/9447	1.97528627539255e-08	4.67014112253525e-07	3.5347228085972e-07	GABBR1/GABRB3/GNG5/PDE2A/GABRA3/GNG12/GNAI1/KCNJ9/GNG4/ADCY5/CACNA1A/GABRG2/GABRD/GABRG1/PDE8B/CACNA1B/PRKCB/GABBR2/KCNJ3/GABRB1/PDE1A/GABRA1/GABRB2/GNG13/GABRA4/PRKCG/GABRA5/SLC32A1	28
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	28/925	93/9447	3.35200054367539e-08	7.0812079269623e-07	5.35960402803952e-07	GATA3/IL2RG/CD3E/CD3D/LCK/CD247/HLA-DPB1/DLL3/HLA-DMA/HLA-DRA/ZAP70/HLA-DRB1/HLA-DPA1/STAT5A/HLA-DOA/HLA-DQA1/NFATC1/HLA-DMB/IL2RB/CD3G/DLL1/HLA-DQB1/HLA-DQB2/HLA-DRB5/RUNX3/HLA-DQA2/JAK3/HLA-DOB	28
Organismal Systems	Nervous system	hsa04724	Glutamatergic synapse	32/925	116/9447	3.68139801402651e-08	7.0812079269623e-07	5.35960402803952e-07	GRIA2/SLC1A6/SHANK2/GNG5/SLC1A1/PLCB1/GRIA4/DLGAP1/GNG12/GRIK2/GNAI1/GNG4/GRIN3A/ADCY5/CACNA1A/GRIN1/GRIK1/GRM4/SHANK1/GRIA1/SLC38A1/GRIN2B/PRKCB/KCNJ3/SLC17A6/GRM1/GRM5/GLS2/GNG13/SLC17A8/SLC17A7/PRKCG	32
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	27/925	88/9447	3.78212339095921e-08	7.0812079269623e-07	5.35960402803952e-07	SERPINA5/SERPING1/C1R/F2RL2/PLAU/PLAT/F3/SERPINA1/PLAUR/C1S/CFI/SERPINE1/CFH/PROC/C2/CFB/C3/F7/ITGB2/BDKRB2/C1QB/C1QA/ITGAX/F5/C4A/TFPI/C6	27
