ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa05033	Nicotine addiction	41	-0.855691725240506	-2.70494738636511	1e-10	1.83684210526316e-09	1.13019390581717e-09	1873	tags=76%, list=9%, signal=69%	CHRFAM7A/GRIN2D/GRIN2A/GABRQ/GRIN2C/GRIA3/CHRNA7/GABRB1/SLC32A1/CACNA1A/GABRA5/GRIA1/GABRA4/SLC17A8/GRIA2/GRIA4/GRIN2B/GABRB2/CHRNB2/SLC17A7/SLC17A6/CACNA1B/GABRA1/GABRG1/GABRD/CHRNA4/GABRB3/GABRA3/GRIN3A/GRIN1/GABRG2
hsa04082	Neuroactive ligand signaling	199	-0.644388014236554	-2.55606434942515	1e-10	1.83684210526316e-09	1.13019390581717e-09	1939	tags=42%, list=9%, signal=38%	SLC1A7/PRKCA/CHRFAM7A/GRIN2D/DRD1/GRM7/GNG2/P2RX5/GRIN2A/HTR3B/ADCY2/GRM8/GNB3/ADRA1A/DRD5/GRIK4/GNAO1/PLCB4/GABRQ/CHRM2/GRIN2C/SLC1A2/HTR1E/GLRB/GRM2/ADRA1B/PDYN/SLC6A1/GRIA3/MC4R/P2RX6/GRM1/GNAI1/GNG13/CHRNA7/ADCY5/GABRB1/TAC1/OPRK1/GLRA1/HTR6/SLC32A1/PRKCB/GRM5/GNG4/GABBR2/GABRA5/PRKCG/PLCB1/GRIA1/HTR5A/GABRA4/SLC17A8/GRIK2/GRIA2/GRIA4/SLC1A1/GRIN2B/GABRB2/CHRNB2/TACR1/SLC17A7/HTR2C/GABBR1/CHRM4/SLC17A6/GRM4/HTR2A/GABRA1/GABRG1/GABRD/GNAL/CHRM1/CHRNA4/GABRB3/HTR1A/GABRA3/GRIN3A/HRH3/GRIN1/SLC1A6/GABRG2/GLRA3
hsa05150	Staphylococcus aureus infection	88	0.767675216740364	2.46966525793768	1e-10	1.83684210526316e-09	1.13019390581717e-09	2100	tags=47%, list=10%, signal=42%	HLA-DQA1/HLA-DQA2/C1R/HLA-DQB1/HLA-DQB2/FCGR2C/HLA-DRB1/HLA-DRA/HLA-DOA/HLA-DPB1/FCGR2B/HLA-DRB5/CFI/HLA-DPA1/FCGR3A/C1S/C3/C2/HLA-DMA/HLA-DMB/ITGAL/KRT18/FCGR2A/CFB/ICAM1/CFH/ITGB2/C1QB/C4A/FPR3/FPR1/HLA-DOB/C1QA/C1QC/C5AR1/IL10/FCGR1A/CFD/FPR2/C3AR1/ITGAM
hsa04724	Glutamatergic synapse	115	-0.650703072253602	-2.45947011890878	1e-10	1.83684210526316e-09	1.13019390581717e-09	2525	tags=50%, list=12%, signal=44%	GNB5/GRM3/PPP3CA/TRPC1/GNG3/LZTS3/SLC1A7/CACNA1C/PRKCA/GRIN2D/GRM7/GNG2/GRIN2A/ADCY2/GRM8/GNB3/GRK3/GRIK4/DLG4/SHANK3/GNAO1/PPP3CB/CACNA1D/PLCB4/GRIN2C/SLC1A2/GRM2/GRIA3/GRM1/GNAI1/GNG13/SLC38A1/GLS2/ADCY5/PRKCB/GRM5/GNG4/CACNA1A/PRKCG/PLCB1/GRIA1/KCNJ3/SLC17A8/GRIK2/GRIA2/GRIA4/SLC1A1/GRIN2B/DLGAP1/SLC17A7/SHANK1/SLC17A6/GRM4/SHANK2/GRIN3A/GRIN1/SLC1A6
hsa04721	Synaptic vesicle cycle	78	-0.692456374602325	-2.44682908931535	1e-10	1.83684210526316e-09	1.13019390581717e-09	2554	tags=45%, list=12%, signal=39%	ATP6V1A/CLTCL1/SLC6A13/AP2B1/ATP6V1B1/ATP6V0A1/NSF/SLC1A7/VAMP2/STX1A/DNM1/SLC1A2/CPLX3/SLC6A1/STXBP1/SYT1/RAB3A/SLC32A1/CACNA1A/DNM3/SLC6A7/UNC13A/STX1B/SLC17A8/RIMS1/SLC1A1/ATP6V1G2/UNC13C/SLC17A7/SLC17A6/CACNA1B/SNAP25/CPLX1/CPLX2/SLC1A6
hsa05320	Autoimmune thyroid disease	51	0.819941617130588	2.43214640662992	1e-10	1.83684210526316e-09	1.13019390581717e-09	2317	tags=59%, list=11%, signal=52%	HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRA/HLA-DOA/HLA-DPB1/HLA-DRB5/HLA-DPA1/HLA-DMA/PRF1/HLA-DMB/CD80/HLA-B/HLA-DOB/CD40LG/FASLG/IL10/HLA-G/CD86/HLA-F/HLA-C/HLA-A/CD28/CD40/GZMB/FAS/CTLA4/HLA-E
hsa05330	Allograft rejection	36	0.866366884193817	2.43192885471112	1e-10	1.83684210526316e-09	1.13019390581717e-09	2317	tags=81%, list=11%, signal=72%	HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRA/HLA-DOA/HLA-DPB1/HLA-DRB5/HLA-DPA1/HLA-DMA/PRF1/HLA-DMB/CD80/HLA-B/HLA-DOB/CD40LG/FASLG/IL10/HLA-G/CD86/HLA-F/HLA-C/HLA-A/CD28/CD40/GZMB/FAS/HLA-E
hsa04727	GABAergic synapse	89	-0.674654555874202	-2.42974983858162	1e-10	1.83684210526316e-09	1.13019390581717e-09	2372	tags=48%, list=12%, signal=43%	GNB5/SLC6A13/GNG3/NSF/GABARAPL1/GPHN/CACNA1C/PRKCA/GNG2/ABAT/ADCY2/GNB3/GNAO1/CACNA1D/GABRQ/PLCL1/SLC6A1/GNAI1/GNG13/SLC38A1/GLS2/ADCY5/GABRB1/GAD2/SLC32A1/PRKCB/GNG4/CACNA1A/GABBR2/GABRA5/PRKCG/GAD1/GABRA4/SLC12A5/GABRB2/GABBR1/CACNA1B/GABRA1/GABRG1/GABRD/GABRB3/GABRA3/GABRG2
hsa05332	Graft-versus-host disease	39	0.847716170786054	2.41870799833027	1e-10	1.83684210526316e-09	1.13019390581717e-09	2317	tags=74%, list=11%, signal=66%	HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRA/HLA-DOA/HLA-DPB1/HLA-DRB5/HLA-DPA1/HLA-DMA/PRF1/HLA-DMB/IL6/CD80/HLA-B/HLA-DOB/IL1A/FASLG/HLA-G/CD86/HLA-F/HLA-C/HLA-A/CD28/KLRD1/GZMB/FAS/HLA-E
hsa04723	Retrograde endocannabinoid signaling	140	-0.622511796990515	-2.40038772702736	1e-10	1.83684210526316e-09	1.13019390581717e-09	1891	tags=32%, list=9%, signal=29%	FAAH/CACNA1C/PRKCA/GNG2/ABHD6/ADCY2/GNB3/MAPK10/GNAO1/CACNA1D/PLCB4/GABRQ/MAPK8/GRIA3/GRM1/GNAI1/GNG13/ADCY5/GABRB1/SLC32A1/PRKCB/GRM5/GNG4/CACNA1A/GABRA5/PRKCG/PLCB1/GRIA1/KCNJ3/GABRA4/SLC17A8/RIMS1/GRIA2/GRIA4/KCNJ9/GABRB2/SLC17A7/SLC17A6/CACNA1B/GABRA1/GABRG1/GABRD/GABRB3/GABRA3/GABRG2
