HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:4075	GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1	Approved	gene with protein product		EJM5	5q34	2554	ENSG00000022355	OTTHUMG00000163586	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4076	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2	Approved	gene with protein product			4p12	2555	ENSG00000151834	OTTHUMG00000044266	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4077	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3	Approved	gene with protein product			Xq28	2556	ENSG00000011677	OTTHUMG00000024183	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4078	GABRA4	gamma-aminobutyric acid type A receptor subunit alpha4	Approved	gene with protein product			4p12	2557	ENSG00000109158	OTTHUMG00000099431	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4079	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5	Approved	gene with protein product			15q12	2558	ENSG00000186297	OTTHUMG00000171824	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4080	GABRA6	gamma-aminobutyric acid type A receptor subunit alpha6	Approved	gene with protein product			5q34	2559	ENSG00000145863	OTTHUMG00000130351	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4081	GABRB1	gamma-aminobutyric acid type A receptor subunit beta1	Approved	gene with protein product			4p12	2560	ENSG00000163288	OTTHUMG00000044269	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4082	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2	Approved	gene with protein product			5q34	2561	ENSG00000145864	OTTHUMG00000130349	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4083	GABRB3	gamma-aminobutyric acid type A receptor subunit beta3	Approved	gene with protein product			15q12	2562	ENSG00000166206	OTTHUMG00000129231	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4084	GABRD	gamma-aminobutyric acid type A receptor subunit delta	Approved	gene with protein product		GABAARdelta	1p36.33	2563	ENSG00000187730	OTTHUMG00000041064	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4085	GABRE	gamma-aminobutyric acid type A receptor subunit epsilon	Approved	gene with protein product			Xq28	2564	ENSG00000102287	OTTHUMG00000024176	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4086	GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1	Approved	gene with protein product			4p12	2565	ENSG00000163285	OTTHUMG00000128609	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4087	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2	Approved	gene with protein product			5q34	2566	ENSG00000113327	OTTHUMG00000130350	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4088	GABRG3	gamma-aminobutyric acid type A receptor subunit gamma3	Approved	gene with protein product			15q12	2567	ENSG00000182256	OTTHUMG00000044462	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4089	GABRP	gamma-aminobutyric acid type A receptor subunit pi	Approved	gene with protein product			5q35.1	2568	ENSG00000094755	OTTHUMG00000130443	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:14454	GABRQ	gamma-aminobutyric acid type A receptor subunit theta	Approved	gene with protein product			Xq28	55879	ENSG00000268089	OTTHUMG00000022649	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4090	GABRR1	gamma-aminobutyric acid type A receptor subunit rho1	Approved	gene with protein product			6q15	2569	ENSG00000146276	OTTHUMG00000015195	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4091	GABRR2	gamma-aminobutyric acid type A receptor subunit rho2	Approved	gene with protein product			6q15	2570	ENSG00000111886	OTTHUMG00000015198	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:17969	GABRR3	gamma-aminobutyric acid type A receptor subunit rho3	Approved	gene with protein product			3q11.2	200959	ENSG00000183185	OTTHUMG00000159135	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4070	GABBR1	gamma-aminobutyric acid type B receptor subunit 1	Approved	gene with protein product		hGB1a, GPRC3A	6p22.1	2550	ENSG00000204681	OTTHUMG00000031095	280	Gamma-aminobutyric acid type B receptor subunits
HGNC:4507	GABBR2	gamma-aminobutyric acid type B receptor subunit 2	Approved	gene with protein product	GPR51	HG20, GABABR2, GPRC3B	9q22.33	9568	ENSG00000136928	OTTHUMG00000020345	280	Gamma-aminobutyric acid type B receptor subunits
