HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:4571	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	Approved	gene with protein product	GLUR1	GluA1, GLURA	5q33.2	2890	ENSG00000155511	OTTHUMG00000130148	1200	Glutamate ionotropic receptor AMPA type subunits
HGNC:4572	GRIA2	glutamate ionotropic receptor AMPA type subunit 2	Approved	gene with protein product	GLUR2	GluA2, GLURB, GluR-K2, GluR-B, GluR-2	4q32.1	2891	ENSG00000120251	OTTHUMG00000133836	1200	Glutamate ionotropic receptor AMPA type subunits
HGNC:4573	GRIA3	glutamate ionotropic receptor AMPA type subunit 3	Approved	gene with protein product	GLUR3	GluA3, GLURC, MRX94, GluR-3, GluR-C, GluR-K3, iGluR3	Xq25	2892	ENSG00000125675	OTTHUMG00000022685	1200	Glutamate ionotropic receptor AMPA type subunits
HGNC:4574	GRIA4	glutamate ionotropic receptor AMPA type subunit 4	Approved	gene with protein product	GLUR4	GluA4, GLURD, GluR-4, GluR-D, GLUR4C	11q22.3	2893	ENSG00000152578	OTTHUMG00000166236	1200	Glutamate ionotropic receptor AMPA type subunits
HGNC:4575	GRID1	glutamate ionotropic receptor delta type subunit 1	Approved	gene with protein product		GluD1, KIAA1220	10q23.1-q23.2	2894	ENSG00000182771	OTTHUMG00000018650	1202	Glutamate ionotropic receptor delta type subunits
HGNC:4576	GRID2	glutamate ionotropic receptor delta type subunit 2	Approved	gene with protein product		GluD2, GluR-delta-2	4q22.1-q22.2	2895	ENSG00000152208	OTTHUMG00000130975	1202	Glutamate ionotropic receptor delta type subunits
HGNC:4579	GRIK1	glutamate ionotropic receptor kainate type subunit 1	Approved	gene with protein product	GLUR5	GluK1	21q21.3	2897	ENSG00000171189	OTTHUMG00000078879	1199	Glutamate ionotropic receptor kainate type subunits
HGNC:4580	GRIK2	glutamate ionotropic receptor kainate type subunit 2	Approved	gene with protein product	GLUR6	GluK2, MRT6, GluR-6, EAA4, GLUK6	6q16.3	2898	ENSG00000164418	OTTHUMG00000016328	1199	Glutamate ionotropic receptor kainate type subunits
HGNC:4581	GRIK3	glutamate ionotropic receptor kainate type subunit 3	Approved	gene with protein product		GluK3, GLUR7	1p34.3	2899	ENSG00000163873	OTTHUMG00000004189	1199	Glutamate ionotropic receptor kainate type subunits
HGNC:4582	GRIK4	glutamate ionotropic receptor kainate type subunit 4	Approved	gene with protein product	GRIK	GluK4, KA1	11q23.3	2900	ENSG00000149403	OTTHUMG00000048255	1199	Glutamate ionotropic receptor kainate type subunits
HGNC:4583	GRIK5	glutamate ionotropic receptor kainate type subunit 5	Approved	gene with protein product	GRIK2	GluK5, KA2	19q13.2	2901	ENSG00000105737	OTTHUMG00000044573	1199	Glutamate ionotropic receptor kainate type subunits
HGNC:4584	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	Approved	gene with protein product	NMDAR1	GluN1, NR1	9q34.3	2902	ENSG00000176884	OTTHUMG00000020976	1201	Glutamate ionotropic receptor NMDA type subunits
HGNC:4585	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	Approved	gene with protein product	NMDAR2A	GluN2A, NR2A	16p13.2	2903	ENSG00000183454	OTTHUMG00000129721	1201	Glutamate ionotropic receptor NMDA type subunits
HGNC:4586	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	Approved	gene with protein product	NMDAR2B	GluN2B, NR2B	12p13.1	2904	ENSG00000273079	OTTHUMG00000137373	1201	Glutamate ionotropic receptor NMDA type subunits
HGNC:4587	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	Approved	gene with protein product	NMDAR2C	GluN2C, NR2C	17q25.1	2905	ENSG00000161509	OTTHUMG00000044524	1201	Glutamate ionotropic receptor NMDA type subunits
HGNC:4588	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D	Approved	gene with protein product	NMDAR2D	GluN2D, EB11, NR2D	19q13.33	2906	ENSG00000105464	OTTHUMG00000183304	1201	Glutamate ionotropic receptor NMDA type subunits
HGNC:16767	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	Approved	gene with protein product		GluN3A	9q31.1	116443	ENSG00000198785	OTTHUMG00000020387	1201	Glutamate ionotropic receptor NMDA type subunits
HGNC:16768	GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B	Approved	gene with protein product		GluN3B	19p13.3	116444	ENSG00000116032	OTTHUMG00000181904	1201	Glutamate ionotropic receptor NMDA type subunits
HGNC:4593	GRM1	glutamate metabotropic receptor 1	Approved	gene with protein product		GPRC1A, mGlu1, MGLUR1, PPP1R85	6q24.3	2911	ENSG00000152822	OTTHUMG00000015752	281	Glutamate metabotropic receptors
HGNC:4594	GRM2	glutamate metabotropic receptor 2	Approved	gene with protein product		GPRC1B, mGlu2, MGLUR2	3p21.2	2912	ENSG00000164082	OTTHUMG00000156902	281	Glutamate metabotropic receptors
HGNC:4595	GRM3	glutamate metabotropic receptor 3	Approved	gene with protein product		GPRC1C, mGlu3, MGLUR3	7q21.11-q21.12	2913	ENSG00000198822	OTTHUMG00000022884	281	Glutamate metabotropic receptors
HGNC:4596	GRM4	glutamate metabotropic receptor 4	Approved	gene with protein product		GPRC1D, mGlu4, MGLUR4	6p21.31	2914	ENSG00000124493	OTTHUMG00000014538	281	Glutamate metabotropic receptors
HGNC:4597	GRM5	glutamate metabotropic receptor 5	Approved	gene with protein product		MGLUR5, GPRC1E, mGlu5, PPP1R86	11q14.2-q14.3	2915	ENSG00000168959	OTTHUMG00000134306	281	Glutamate metabotropic receptors
HGNC:4598	GRM6	glutamate metabotropic receptor 6	Approved	gene with protein product		GPRC1F, mGlu6, MGLUR6, CSNB1B	5q35.3	2916	ENSG00000113262	OTTHUMG00000130889	281	Glutamate metabotropic receptors
HGNC:4599	GRM7	glutamate metabotropic receptor 7	Approved	gene with protein product		GLUR7, GPRC1G, mGlu7, MGLUR7, PPP1R87	3p26.1	2917	ENSG00000196277	OTTHUMG00000125549	281	Glutamate metabotropic receptors
HGNC:4600	GRM8	glutamate metabotropic receptor 8	Approved	gene with protein product		GLUR8, GPRC1H, mGlu8, MGLUR8	7q31.33	2918	ENSG00000179603	OTTHUMG00000022888	281	Glutamate metabotropic receptors
